Czas_pocz;Czas_kon;Zbiornik;H_pocz;H_kon;Bilans
2014-01-01 01:00:00;2014-01-01 03:00:00;1;1.338;1.338;-1,4388561E-4
2014-01-01 03:00:00;2014-01-01 05:00:00;1;1.321;1.321;0,016798899
2014-01-01 05:00:00;2014-01-01 07:00:00;1;1.299;1.299;0,11100006
2014-01-01 07:00:00;2014-01-01 09:00:00;1;1.21;1.21;0,4367149
2014-01-01 09:00:00;2014-01-01 11:00:00;1;1.093;1.093;0,58791214
2014-01-01 11:00:00;2014-01-01 13:00:00;1;0.96;0.96;0,66822404
2014-01-01 13:00:00;2014-01-01 15:00:00;1;0.828;0.828;0,39846474
2014-01-01 15:00:00;2014-01-01 17:00:00;1;0.734;0.734;0,6139027
2014-01-01 17:00:00;2014-01-01 19:00:00;1;0.612;0.612;0,67638326
2014-01-01 19:00:00;2014-01-01 21:00:00;1;0.582;0.582;0,16436052
2014-01-01 21:00:00;2014-01-01 23:00:00;1;0.511;0.511;0,4555235
2014-01-01 23:00:00;2014-01-02 01:00:00;1;0.506;0.506;0,028844118
2014-01-02 01:00:00;2014-01-02 03:00:00;1;0.506;0.506;0,0
2014-01-02 03:00:00;2014-01-02 05:00:00;1;0.506;0.506;0,0
2014-01-02 05:00:00;2014-01-02 07:00:00;1;0.476;0.476;0,11963725
2014-01-02 07:00:00;2014-01-02 09:00:00;1;0.457;0.457;0,15228891
2014-01-02 09:00:00;2014-01-02 11:00:00;1;0.652;0.652;-1,9971325
2014-01-02 11:00:00;2014-01-02 13:00:00;1;1.213;1.213;-4,632596
2014-01-02 13:00:00;2014-01-02 15:00:00;1;1.001;1.001;1,0205512
2014-01-02 15:00:00;2014-01-02 17:00:00;1;0.855;0.855;0,7376971
2014-01-02 17:00:00;2014-01-02 19:00:00;1;0.746;0.746;0,6048217
2014-01-02 19:00:00;2014-01-02 21:00:00;1;0.685;0.685;0,5881362
2014-01-02 21:00:00;2014-01-02 23:00:00;1;0.639;0.639;0,2664957
2014-01-02 23:00:00;2014-01-03 01:00:00;1;0.626;0.626;0,09043503
2014-01-03 01:00:00;2014-01-03 03:00:00;1;0.626;0.626;0,0
2014-01-03 03:00:00;2014-01-03 05:00:00;1;0.626;0.626;0,0
2014-01-03 05:00:00;2014-01-03 07:00:00;1;0.619;0.619;0,011212826
2014-01-03 07:00:00;2014-01-03 09:00:00;1;0.579;0.579;0,30926633
2014-01-03 09:00:00;2014-01-03 11:00:00;1;0.453;0.453;0,83026695
2014-01-03 11:00:00;2014-01-03 13:00:00;1;0.3;0.3;0,6841719
2014-01-03 13:00:00;2014-01-03 15:00:00;1;1.144;1.144;-7,2064013
2014-01-03 15:00:00;2014-01-03 17:00:00;1;0.98;0.98;0,9737463
2014-01-03 17:00:00;2014-01-03 19:00:00;1;0.884;0.884;0,48985863
2014-01-03 19:00:00;2014-01-03 21:00:00;1;0.817;0.817;0,15252256
2014-01-03 21:00:00;2014-01-03 23:00:00;1;0.804;0.804;0,046177864
2014-01-03 23:00:00;2014-01-04 01:00:00;1;0.785;0.785;0,15130997
2014-01-04 01:00:00;2014-01-04 03:00:00;1;0.784;0.784;0,013110638
2014-01-04 03:00:00;2014-01-04 05:00:00;1;0.784;0.784;0,0
2014-01-04 05:00:00;2014-01-04 07:00:00;1;0.757;0.757;0,3205557
2014-01-04 07:00:00;2014-01-04 09:00:00;1;0.732;0.732;0,23791075
2014-01-04 09:00:00;2014-01-04 11:00:00;1;0.684;0.684;0,34814548
2014-01-04 11:00:00;2014-01-04 13:00:00;1;0.574;0.574;0,738312
2014-01-04 13:00:00;2014-01-04 15:00:00;1;0.426;0.426;0,8769214
2014-01-04 15:00:00;2014-01-04 17:00:00;1;0.256;0.256;0,77143
2014-01-04 17:00:00;2014-01-04 19:00:00;1;1.047;1.047;-6,8159556
2014-01-04 19:00:00;2014-01-04 21:00:00;1;0.983;0.983;0,32006788
2014-01-04 21:00:00;2014-01-04 23:00:00;1;0.875;0.875;0,31284523
2014-01-04 23:00:00;2014-01-05 01:00:00;1;0.874;0.874;-0,0033340454
2014-01-05 01:00:00;2014-01-05 03:00:00;1;0.87;0.87;0,016666412
2014-01-05 03:00:00;2014-01-05 05:00:00;1;0.87;0.87;0,0
2014-01-05 05:00:00;2014-01-05 07:00:00;1;0.857;0.857;-0,02467966
2014-01-05 07:00:00;2014-01-05 09:00:00;1;0.821;0.821;0,18939924
2014-01-05 09:00:00;2014-01-05 11:00:00;1;0.76;0.76;0,48457956
2014-01-05 11:00:00;2014-01-05 13:00:00;1;0.645;0.645;0,92507887
2014-01-05 13:00:00;2014-01-05 15:00:00;1;0.553;0.553;0,6927595
2014-01-05 15:00:00;2014-01-05 17:00:00;1;0.465;0.465;0,38992524
2014-01-05 17:00:00;2014-01-05 19:00:00;1;0.403;0.403;0,25273943
2014-01-05 19:00:00;2014-01-05 21:00:00;1;0.353;0.353;0,33770955
2014-01-05 21:00:00;2014-01-05 23:00:00;1;1.129;1.129;-6,5047894
2014-01-05 23:00:00;2014-01-06 01:00:00;1;1.099;1.099;0,09600067
2014-01-06 01:00:00;2014-01-06 03:00:00;1;1.099;1.099;0,0
2014-01-06 03:00:00;2014-01-06 05:00:00;1;1.099;1.099;0,0
2014-01-06 05:00:00;2014-01-06 07:00:00;1;1.081;1.081;0,13670063
2014-01-06 07:00:00;2014-01-06 09:00:00;1;1.026;1.026;0,31182718
2014-01-06 09:00:00;2014-01-06 11:00:00;1;0.95;0.95;0,26134682
2014-01-06 11:00:00;2014-01-06 13:00:00;1;0.803;0.803;0,45701027
2014-01-06 13:00:00;2014-01-06 15:00:00;1;0.663;0.663;1,2403097
2014-01-06 15:00:00;2014-01-06 17:00:00;1;0.552;0.552;0,8326764
2014-01-06 17:00:00;2014-01-06 19:00:00;1;0.464;0.464;0,290668
2014-01-06 19:00:00;2014-01-06 21:00:00;1;0.378;0.378;0,62333345
2014-01-06 21:00:00;2014-01-06 23:00:00;1;0.354;0.354;0,15150034
2014-01-06 23:00:00;2014-01-07 01:00:00;1;0.33;0.33;0,17050004
2014-01-07 01:00:00;2014-01-07 03:00:00;1;0.33;0.33;0,0
2014-01-07 03:00:00;2014-01-07 05:00:00;1;0.326;0.326;0,029777765
2014-01-07 05:00:00;2014-01-07 07:00:00;1;0.299;0.299;0,12685597
2014-01-07 07:00:00;2014-01-07 09:00:00;1;1.264;1.264;-7,7130547
2014-01-07 09:00:00;2014-01-07 11:00:00;1;1.192;1.192;0,3842659
2014-01-07 11:00:00;2014-01-07 13:00:00;1;1.076;1.076;0,58248615
2014-01-07 13:00:00;2014-01-07 15:00:00;1;0.977;0.977;0,40223932
2014-01-07 15:00:00;2014-01-07 17:00:00;1;0.859;0.859;0,68650866
2014-01-07 17:00:00;2014-01-07 19:00:00;1;0.748;0.748;0,57573795
2014-01-07 19:00:00;2014-01-07 21:00:00;1;0.692;0.692;0,40247154
2014-01-07 21:00:00;2014-01-07 23:00:00;1;0.667;0.667;0,18586016
