Data;Wysokosc;Objetosc
2014-01-01 01:00:00;2,721;37,997
2014-01-01 02:00:00;2,721;37,997
2014-01-01 03:00:00;2,721;37,997
2014-01-01 04:00:00;2,721;37,997
2014-01-01 05:00:00;2,71;37,912
2014-01-01 06:00:00;2,697;37,807167
2014-01-01 07:00:00;2,676;37,62163
2014-01-01 08:00:00;2,665;37,52437
2014-01-01 09:00:00;2,641;37,2956
2014-01-01 10:00:00;2,618;37,07947
2014-01-01 11:00:00;2,589;36,77133
2014-01-01 12:00:00;2,555;36,406105
2014-01-01 13:00:00;2,528;36,08205
2014-01-01 14:00:00;2,496;35,703197
2014-01-01 15:00:00;2,447;35,067
2014-01-01 16:00:00;2,431;34,8504
2014-01-01 17:00:00;2,38;34,15989
2014-01-01 18:00:00;2,358;33,85317
2014-01-01 19:00:00;2,348;33,70483
2014-01-01 20:00:00;2,334;33,50615
2014-01-01 21:00:00;2,302;33,058
2014-01-01 22:00:00;2,276;32,6722
2014-01-01 23:00:00;2,262;32,47642
2014-01-02 00:00:00;2,257;32,402473
2014-01-02 01:00:00;2,256;32,387684
2014-01-02 02:00:00;2,248;32,26937
2014-01-02 03:00:00;2,248;32,26937
2014-01-02 04:00:00;2,248;32,26937
2014-01-02 05:00:00;2,248;32,26937
2014-01-02 06:00:00;2,241;32,162334
2014-01-02 07:00:00;2,23;31,99
2014-01-02 08:00:00;2,221;31,853317
2014-01-02 09:00:00;2,211;31,703842
2014-01-02 10:00:00;2,183;31,293
2014-01-02 11:00:00;2,159;30,917683
2014-01-02 12:00:00;2,145;30,699
2014-01-02 13:00:00;2,106;30,0944
2014-01-02 14:00:00;2,077;29,6375
2014-01-02 15:00:00;2,055;29,290888
2014-01-02 16:00:00;2,022;28,770151
2014-01-02 17:00:00;2,002;28,454788
2014-01-02 18:00:00;1,975;28,009
2014-01-02 19:00:00;1,936;27,39261
2014-01-02 20:00:00;1,918;27,091894
2014-01-02 21:00:00;1,867;26,26563
2014-01-02 22:00:00;1,852;26,020105
2014-01-02 23:00:00;1,841;25,833223
2014-01-03 00:00:00;1,83;25,644579
2014-01-03 01:00:00;1,829;25,628159
2014-01-03 02:00:00;1,829;25,628159
2014-01-03 03:00:00;1,829;25,628159
2014-01-03 04:00:00;1,829;25,628159
2014-01-03 05:00:00;1,829;25,628159
2014-01-03 06:00:00;1,823;25,52963
2014-01-03 07:00:00;1,818;25,447525
2014-01-03 08:00:00;1,811;25,3334
2014-01-03 09:00:00;1,803;25,2086
2014-01-03 10:00:00;1,786;24,932667
2014-01-03 11:00:00;1,754;24,391554
2014-01-03 12:00:00;1,727;23,937
2014-01-03 13:00:00;1,714;23,729105
2014-01-03 14:00:00;1,696;23,428
2014-01-03 15:00:00;1,653;22,704199
2014-01-03 16:00:00;1,621;22,163525
2014-01-03 17:00:00;1,576;21,409369
2014-01-03 18:00:00;1,549;20,956577
2014-01-03 19:00:00;1,533;20,674889
2014-01-03 20:00:00;1,514;20,352947
2014-01-03 21:00:00;1,511;20,302736
2014-01-03 22:00:00;1,488;19,931446
2014-01-03 23:00:00;1,485;19,87811
2014-01-04 00:00:00;1,478;19,753666
2014-01-04 01:00:00;1,478;19,753666
